City_ID,City,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Country,Date
297,baganga,7.5739,126.56,25.15,87,100,1.79,PH,1689882547
298,terenos,-20.4422,-54.8603,30.84,42,0,5.14,BR,1689882547
299,winneba,5.3511,-0.6231,24.77,88,12,4.08,GH,1689882547
300,kailua-kona,19.6406,-155.9956,27.98,94,40,4.12,US,1689882263
301,le blanc,46.6667,1.1667,23.22,45,100,1.91,FR,1689882548
302,taoudenni,22.6783,-3.9836,41.55,7,0,3.05,ML,1689882413
303,yallahs,17.8748,-76.5624,30.85,73,8,6.91,JM,1689882548
304,mount isa,-20.7333,139.5,18.87,52,100,3.6,AU,1689882292
305,aykhal,66.0,111.5,14.64,73,100,2.66,RU,1689882549
306,madinat ash shamal,26.1293,51.2009,34.31,57,15,4.87,QA,1689882308
307,ciudad melchor muzquiz,27.8833,-101.5167,35.84,31,81,4.67,MX,1689882326
308,vila velha,-20.3297,-40.2925,23.97,83,75,4.63,BR,1689882393
309,kourou,5.1552,-52.6478,30.03,71,20,3.26,GF,1689882549
310,beaufort west,-32.3567,22.583,4.15,77,6,6.12,ZA,1689882550
311,andovoranto,-18.95,49.1,21.42,87,92,1.8,MG,1689882342
312,napasar,27.9667,73.55,35.36,49,95,3.98,IN,1689882550
313,tosontsengel,48.7567,98.2839,10.59,80,84,1.68,MN,1689882550
314,nantucket,41.2835,-70.0995,28.08,91,0,3.36,US,1689882416
315,afaahiti,-17.75,-149.2833,23.93,65,22,8.64,PF,1689882245
316,masterton,-40.9597,175.6575,8.82,70,100,4.37,NZ,1689882443
317,myitkyina,25.3833,97.4,24.51,97,100,0.06,MM,1689882551
318,crane,31.3974,-102.3501,37.44,19,100,7.61,US,1689882273
319,ojinaga,29.5667,-104.4167,43.1,24,0,5.66,MX,1689882552
320,mount pearl,47.5166,-52.7813,28.19,65,75,8.23,CA,1689882548
321,guerrero negro,27.9769,-114.0611,25.75,57,13,7.44,MX,1689882552
322,tashtyp,52.7939,89.8983,16.58,98,100,1.53,RU,1689882552
323,puerto baquerizo moreno,-0.9,-89.6,27.55,74,20,5.14,EC,1689882250
324,eyl,7.9803,49.8164,25.3,76,78,11.56,SO,1689882287
325,khovd,48.0056,91.6419,22.17,36,100,9.8,MN,1689882553
326,nuuk,64.1835,-51.7216,9.34,100,75,1.03,GL,1689882296
327,marghita,47.35,22.3333,22.18,69,3,1.64,RO,1689882553
328,igarka,67.4667,86.5833,16.46,98,100,3.67,RU,1689882361
329,huanren,41.2647,125.3667,21.56,94,94,0.43,CN,1689882554
330,decatur,39.8403,-88.9548,32.86,74,75,4.63,US,1689882554
331,tomatlan,19.9333,-105.25,35.13,49,90,3.96,MX,1689882266
332,springs,-26.25,28.4,8.41,90,99,6.87,ZA,1689882554
333,shalqar,47.8333,59.6,22.83,57,60,2.32,KZ,1689882554
334,fereydunshahr,32.941,50.121,19.53,24,61,1.93,IR,1689882555
335,rodolfo sanchez taboada,31.7167,-116.5667,23.94,70,86,1.34,MX,1689882555
336,yass,-34.8333,148.9167,8.23,92,82,1.34,AU,1689882555
337,lamar,33.6668,-95.5836,36.1,66,0,2.06,US,1689882555
338,buta,2.7858,24.73,21.05,96,36,0.84,CD,1689882556
339,lysianka,49.2523,30.8295,16.93,93,95,2.47,UA,1689882556
340,christchurch,-43.5333,172.6333,3.04,78,75,1.54,NZ,1689882275
341,sisophon,13.5859,102.9737,25.27,85,100,2.24,KH,1689882556
342,carlsbad,33.1581,-117.3506,40.31,66,0,4.63,US,1689882549
343,howrah,22.5892,88.3103,29.0,89,40,3.09,IN,1689882282
344,ciudad acuna,29.3232,-100.9522,39.67,31,0,6.69,MX,1689882557
345,okha,53.5739,142.9478,11.51,94,100,5.06,RU,1689882301
346,salaqi,40.5414,110.5108,18.24,83,55,3.37,CN,1689882397
347,pangody,65.85,74.4859,20.99,58,70,3.53,RU,1689882368
348,new norfolk,-42.7826,147.0587,5.4,89,71,1.11,AU,1689882415
349,kostanay,53.1667,63.5833,18.16,77,0,4.0,KZ,1689882558
350,kemin,42.7846,75.6892,21.18,63,4,2.83,KG,1689882559
351,pathein,16.7833,94.7333,24.64,96,97,1.65,MM,1689882559
352,anapa,44.8908,37.3239,18.19,88,0,2.0,RU,1689882559
353,tazovsky,67.4667,78.7,17.4,77,47,3.78,RU,1689882263
354,centreville,38.8404,-77.4289,32.73,53,75,4.12,US,1689882054
355,tazacorte,28.629,-17.9293,24.53,84,75,7.72,ES,1689882402
356,vrangel',42.7297,133.0839,17.9,97,38,1.06,RU,1689882560
357,padre las casas,18.7317,-70.9392,31.53,47,0,5.4,DO,1689882560
358,betio village,1.358,172.9211,27.02,77,82,5.39,KI,1689882561
359,pindushi,62.9152,34.58,14.01,97,100,4.2,RU,1689882566
360,meybod,32.2501,54.0166,37.01,16,6,3.81,IR,1689882566
